Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time
66,,CC,,,,,,,,,,,,,,,99,,84,,,,,,,,17JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
67,,CC,,,,,,,,,,,,,,,105,,89,,,,,,,,17JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
68,,CC,,,,,,,,,,,,,,,83,,37,,,,,,,,20JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
69,,CC,,,,,,,,,,,,,,,147,,93,,,,,,,,22JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
70,,CC,,,,,,,,,,,,,,,82,,67,,,,,,,,26JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
71,,CC,,,,,,,,,,,,,,,129,,107,,,,,,,,27JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
72,,CC,,,,,,,,,,,,,,,80,,80,,,,,,,,02JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
73,,CC,,,,,,,,,,,,,,,83,,77,,,,,,,,04JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
74,,CC,,,,,,,,,,,,,,,89,,52,,,,,,,,05JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
75,,CC,,,,,,,,,,,,,,,137,,91,,,,,,,,08JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
76,,CC,,,,,,,,,,,,,,,125,,0,,,,,,,,11JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
77,,CC,,,,,,,,,,,,,,,120,,34,,,,,,,,12JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
78,,CC,,,,,,,,,,,,,,,103,,98,,,,,,,,16JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
